cutomer_id,customer_firstname,customer_lastname,customer_title,customer_phone,customer_email,customer_membership,delivery_fee,customer_building,customer_street, customer_city, customer_region, customer_postcode,promo_code
NAT-21446,Mike,Berriball,Dr,+44 482 422 6609,mberriball0@abc.net.au,membership,0,103,Willow Street,Phillipsborough,North Yorkshire,B1D 6RT,BU86M505PYD
MQV-12400,Antone,Lujan,Mr,+44 941 356 9889,alujan1@qq.com,not membership,4.99,436,Spruce Street,West Dean,Nottinghamshire,G1A 8DD,BG70Z584RFB
MLY-44705,Moria,Llewellen,Honorable,+44 398 412 8484,mllewellen2@hud.gov,not membership,5.99,861,Willow Street,Zoeberg,Cumbria,G4H 0NH,JI24S173EUJ
RFE-59474,Ichabod,Philson,Honorable,+44 114 708 3717,iphilson3@github.com,membership,0,271,Maple Street,South Jacobview,Shropshire,M04 5UF,FU87P552XKO
WBO-40739,Leena,Strangeway,Mrs,+44 782 865 8414,lstrangeway4@utexas.edu,membership,0,107,Ash Street,Harveyside,Inverclyde,M8 3LL,SD70E981QNT
PPP-76997,Maurise,Chiommienti,Ms,+44 538 602 6501,mchiommienti5@about.com,not membership,2.99,72,Ash Street,Kimberleyport,Orkney Islands,G53 1QY,FD47U296XSB
AXT-62647,Cathie,Pirelli,Honorable,+44 172 703 1594,cpirelli6@noaa.gov,not membership,5.99,701,Maple Street,East Joseph,West Berkshire,E44 8YU,QQ84Y044ZAR
CBF-75520,Claire,Yosevitz,Rev,+44 871 224 2908,cyosevitz7@hibu.com,membership,0,21,Cedar Street,Frasershire,Shropshire,KW5 2XZ,XE79N783TIY
INZ-84177,Bondon,Sidon,Mrs,+44 886 667 8955,bsidon8@yellowpages.com,not membership,6.99,615,Spruce Street,Bethanborough,Tyrone,W26 5TW,PK52L982TBR
TWE-00676,Frances,De Domenicis,Ms,+44 429 458 9363,fdedomenicis9@clickbank.net,not membership,5.99,122,Cedar Street,Hutchinsonside,Shetland Islands,S16 6XX,YH90N379QJO
LGB-46086,Cathe,Matevosian,Mrs,+44 584 223 8940,cmatevosiana@loc.gov,membership,0,467,Cedar Street,Lake Keith,Flintshire,CW6R 4YS,ZQ92T112VES
SGR-65629,Jud,Blankenship,Mrs,+44 776 518 6722,jblankenshipb@goodreads.com,membership,0,215,Birch Street,Shirleybury,Warwickshire,W2 0RL,VF53Q796UOC
ADR-99282,Renate,Bartlomiej,Ms,+44 980 571 3210,rbartlomiejc@msn.com,membership,0,331,Chestnut Street,East Andrea,Merionethshire,W70 4LN,KE71V162RRM
YCG-95880,Chaddy,Petrussi,Mr,+44 930 257 4619,cpetrussid@google.com.au,not membership,2.99,459,Birch Street,South Ericstad,Cleveland,W9W 1ZT,TX70C783IAW
RHJ-93702,Forrest,Danilov,Honorable,+44 560 562 9443,fdanilove@hud.gov,not membership,3.99,88,Chestnut Street,New Hilaryshire,Orkney Islands,PA93 9RL,DF93Q401SPA
TNZ-37668,Halie,Pettinger,Mr,+44 862 243 6944,hpettingerf@fotki.com,not membership,3.99,373,Pine Street,Dannyport,North Ayrshire,M1 8QQ,DM80P076SMU
ZKU-88534,Paco,Belli,Rev,+44 437 275 2821,pbellig@yellowpages.com,membership,0,100,Willow Street,Andrewsmouth,Renfrewshire,SK0E 9PG,NW01B919NLS
THJ-67160,Braden,Hext,Mrs,+44 199 628 7617,bhexth@jigsy.com,membership,0,872,Chestnut Street,Thomsonport,West Yorkshire,GU7Y 0FB,YQ31F696OZP
ZEC-71597,Eda,Caspell,Ms,+44 182 443 6654,ecaspelli@oaic.gov.au,membership,0,664,Maple Street,Abbiemouth,South Lanarkshire,G0 4DJ,MA21N438QVA
KRW-49337,Martica,Shugg,Mrs,+44 104 237 7656,mshuggj@issuu.com,not membership,5.99,131,Birch Street,Boothborough,Falkirk,B35 0HH,IH33G833LZX
XOH-81381,Vivyan,Moverley,Mr,+44 379 782 1039,vmoverleyk@about.me,membership,0,662,Spruce Street,Lake Jacquelineton,Merionethshire,NP01 8PX,GC61A316OOB
FHM-91166,Dedra,Willmott,Ms,+44 247 406 4552,dwillmottl@g.co,not membership,4.99,309,Willow Street,Smithville,Aberdeenshire,NE7A 6PA,LS25F797YYB
BKO-86740,Jeni,Pena,Ms,+44 413 369 7689,jpenam@wikimedia.org,membership,0,770,Pine Street,Cookborough,West Sussex,W1 2TB,IT50D081MAW
RTA-59329,Bennie,Whalebelly,Honorable,+44 302 294 1699,bwhalebellyn@istockphoto.com,membership,0,344,Chestnut Street,Brownborough,Surrey,CH30 0EZ,IM06F380EQR
AUN-48693,Wilbur,Domsalla,Honorable,+44 170 877 8307,wdomsallao@bbb.org,membership,0,492,Pine Street,East Matthew,Cornwall,PO21 6WX,QX60L733GVU
DAU-85706,Ripley,Diggles,Honorable,+44 981 881 3346,rdigglesp@weebly.com,membership,0,414,Spruce Street,New Lynn,North Ayrshire,WC7X 8WN,EQ29F808YZO
HAG-07096,Kit,Appleton,Mrs,+44 252 134 4907,kappletonq@state.tx.us,membership,0,806,Cedar Street,South Dorothyberg,East Sussex,G3B 5ZZ,AN23E544CFL
NXA-25791,Gaile,Cargill,Rev,+44 824 445 4757,gcargillr@accuweather.com,not membership,3.99,386,Ash Street,Lake Stanley,City of Edinburgh,TD7W 5GU,JH41S284UQQ
QWL-36165,Fae,Clinnick,Ms,+44 239 591 3611,fclinnicks@bbc.co.uk,membership,0,192,Spruce Street,Darrenbury,Clackmannanshire,E66 8LS,FV01I405UNS
OMI-23469,Latashia,Schettini,Dr,+44 912 728 8701,lschettinit@nationalgeographic.com,membership,0,956,Elm Street,Staceyport,Tyrone,E7E 6WP,KR69L166VEP
ZMG-30694,Greg,Dearth,Ms,+44 222 756 4847,gdearthu@mapquest.com,membership,0,277,Spruce Street,Wrightton,Kent,TS87 6BH,DX29M145ROX
UTK-60300,Cecilio,Smalls,Ms,+44 343 684 1702,csmallsv@sphinn.com,not membership,6.99,161,Pine Street,Waltonfurt,Greater Manchester,AB34 3JY,OZ71W942BSY
NXR-35045,Adora,Blankley,Dr,+44 305 108 1564,ablankleyw@weebly.com,membership,0,460,Maple Street,Baileytown,Scottish Borders,M6 3TB,DY70Y825KKK
IRT-45168,Thorvald,Scherer,Honorable,+44 582 236 6187,tschererx@howstuffworks.com,not membership,3.99,314,Birch Street,Stewartbury,Warwickshire,S1 8NZ,ZT79P866AIE
HYP-42158,Rayshell,Dozdill,Mr,+44 330 345 7357,rdozdilly@arizona.edu,membership,0,22,Maple Street,Dominicburgh,Lincolnshire,L3 7LJ,UZ34V465LXL
IDV-44801,Boothe,Creenan,Mrs,+44 242 170 8229,bcreenanz@de.vu,membership,0,253,Pine Street,Port Pauline,Aberdeenshire,L2 1WT,SG99F997PJM
OZR-11268,Jennilee,Alldred,Ms,+44 581 769 6142,jalldred10@1688.com,membership,0,748,Birch Street,East Terry,Durham,PE03 3UF,NZ09B673VDP
EKU-14560,Rodolphe,Ibeson,Mrs,+44 191 163 9973,ribeson11@cmu.edu,membership,0,857,Elm Street,Birdview,East Ayrshire,M4T 9EJ,QR83C056YEN
DHT-25225,Oby,Grishunin,Mr,+44 561 546 2888,ogrishunin12@smugmug.com,membership,0,561,Ash Street,Hannahton,North Ayrshire,NG16 3DH,FG52P081JQY
ZJR-11526,Reginald,Hawse,Honorable,+44 156 572 6597,rhawse13@msn.com,membership,0,475,Willow Street,Lake Lesliehaven,Moray,WS1 0SW,FH77V349PYD
JDG-70980,Selia,Pyrah,Mr,+44 367 707 9217,spyrah14@networksolutions.com,membership,0,59,Pine Street,Walkerbury,Falkirk,WN69 9WZ,CF89P881LZC
